Année,Taux_Declin_Annuel
2005,0
2006,10.088876918933472
2007,38.96724239162345
2008,-8.94189255205377
2009,-6.125437712512592
2010,-5.701862778412771
2011,-12.448437495734412
2012,-1.2672121333067212
2013,-10.013580090955031
2014,-10.74849175069226
2015,-9.182208904984927
2016,-6.121079339787661
2017,-15.545685571836412
2018,-1.9255869326590802
2019,-7.350197954194904
2020,-8.043897660273934
2021,25.273360653059097
