Année,Balance_Commerciale
2005,1746.2
2006,1528.6200000000001
2007,2709.59
2008,2364.4300000000003
2009,2137.01
2010,3489.36
2011,2361.38
2012,1486.1299999999999
2013,1036.0500000000002
2014,1021.31
2015,918.5999999999999
2016,857.6600000000001
2017,954.2900000000001
2018,816.25
2019,1434
2020,363.12
2021,89.41000000000008
